,lost_concepts
325,((NOT pre:tok:man) AND (hyp:tok:nobody OR hyp:tok:nothing))
326,((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer)
327,(hyp:tok:groceries AND pre:tok:people)
328,((((NOT oth:overlap:overlap50) AND (hyp:tok:cat OR hyp:tok:eating)) OR hyp:tok:driving) AND (NOT pre:tok:and))
329,(((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare) OR hyp:tok:maroon)
330,(((hyp:tok:human OR hyp:tok:humans) OR pre:tok:farmer) OR pre:tok:crafts)
331,(((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person) OR pre:tok:stand)
332,(hyp:tok:empty OR hyp:tok:ocean)
333,(pre:tok:movie OR pre:tok:produce)
334,(hyp:tok:human OR hyp:tok:wearing)
335,((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is)
336,((((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in) OR hyp:tok:cafeteria) AND (NOT pre:tok:with))
337,((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock)
338,(((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors)
339,((pre:tok:skateboarder OR pre:tok:snowman) OR hyp:tok:face)
340,((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain)
341,((((hyp:tok:beer AND pre:tok:man) OR hyp:tok:balance) AND pre:tok:in) AND (NOT hyp:tok:at))
342,((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army)
343,(((hyp:tok:water AND pre:tok:swimming) OR hyp:tok:happening) OR hyp:tok:furniture)
344,((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running)
345,((((oth:overlap:overlap50 OR pre:tok:race) OR pre:tok:game) AND (NOT pre:tok:standing)) OR hyp:tok:nobody)
346,((((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present) OR hyp:tok:outfits) OR hyp:tok:gathered)
347,(hyp:tok:in OR pre:tok:while)
348,(hyp:tok:ramp OR hyp:tok:snowball)
349,(((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green)
350,((((hyp:tok:women AND pre:tok:mcdonald) OR pre:tok:rainy) AND (NOT pre:tok:some)) AND (NOT oth:overlap:overlap50))
351,((NOT pre:tok:on) AND hyp:tok:swimming)
352,((((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat) OR hyp:tok:roller)
353,(hyp:tok:step OR pre:tok:checkered)
354,((((hyp:tok:jumping OR pre:tok:pet) AND hyp:tok:dog) OR hyp:tok:talks) OR hyp:tok:greyhound)
355,(hyp:tok:in AND hyp:tok:riding)
356,((((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee) OR pre:tok:unicycle) OR hyp:tok:shoe)
357,(NOT pre:tok:group)
358,(((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone) AND (NOT pre:tok:sitting))
359,(pre:tok:cherry OR pre:tok:picking)
360,(((hyp:tok:friends AND hyp:tok:group) OR hyp:tok:sad) AND (NOT pre:tok:in))
361,(((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos) OR pre:tok:climbs)
362,(((hyp:tok:eating OR hyp:tok:swimming) OR hyp:tok:space) OR hyp:tok:coffee)
363,(hyp:tok:inside OR hyp:tok:kitchen)
364,(((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no)
365,(((hyp:tok:men AND pre:tok:smile) OR hyp:tok:steering) OR hyp:tok:onlookers)
366,(((((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:eating) OR hyp:tok:bus) OR pre:tok:all)
367,(((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras) AND (NOT pre:tok:with))
368,(((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast)
369,((((NOT oth:overlap:overlap50) AND (pre:tok:blue OR pre:tok:in)) AND (NOT pre:tok:men)) AND (NOT pre:tok:suit))
370,(pre:tok:blue OR pre:tok:in)
371,((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:sitting)
372,((NOT pre:tok:on) AND hyp:tok:amusement)
373,(hyp:tok:tired OR hyp:tok:yellow)
374,(((hyp:tok:tired OR hyp:tok:yellow) AND hyp:tok:man) OR pre:tok:chat)
375,(hyp:tok:edge OR hyp:tok:tattoo)
376,((hyp:tok:jet OR pre:tok:laughing) OR hyp:tok:wood)
377,(((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army)) AND (NOT pre:tok:one))
378,(pre:tok:body AND pre:tok:brown)
379,(hyp:tok:water AND pre:tok:swimming)
380,(((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25)
381,((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping)
382,(((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket) AND (NOT oth:overlap:overlap50))
383,((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women)
384,((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on)
385,((((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing) OR pre:tok:low)
386,((((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman)) AND pre:tok:woman) AND (NOT pre:tok:old))
387,((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in)
388,(hyp:tok:nobody OR hyp:tok:nothing)
389,(((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody)
390,(hyp:tok:station AND pre:tok:down)
391,(((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look) OR hyp:tok:pick)
392,((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap)
393,((hyp:tok:tall AND pre:tok:two) OR pre:tok:i)
394,(hyp:tok:bedroom OR hyp:tok:stuck)
395,(((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items)) AND (NOT hyp:tok:in))
396,(((hyp:tok:sad OR pre:tok:snow) OR hyp:tok:gesturing) OR pre:tok:easter)
397,(hyp:tok:laying OR hyp:tok:seated)
398,(((hyp:tok:boys AND pre:tok:girls) OR pre:tok:learning) OR hyp:tok:seven)
399,((((pre:tok:skateboarder OR pre:tok:snowman) OR hyp:tok:face) OR hyp:tok:slam) OR hyp:tok:roller)
400,((((hyp:tok:jumping AND pre:tok:into) OR hyp:tok:packages) OR pre:tok:pumpkin) OR hyp:tok:tunnel)
401,(((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom) OR hyp:tok:tv)
402,(hyp:tok:control OR hyp:tok:staircase)
403,(hyp:tok:religious AND hyp:tok:to)
404,(((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables)
405,(((NOT pre:tok:on) AND hyp:tok:on) OR hyp:tok:eating)
406,(((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading)
407,(((hyp:tok:blanket AND pre:tok:through) OR pre:tok:jumped) AND hyp:tok:on)
408,((((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least)) OR hyp:tok:brushes) AND (NOT hyp:tok:his))
409,((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom)
410,(((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are) OR hyp:tok:6)
411,(((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft)
412,(hyp:tok:coffee OR hyp:tok:pillow)
413,((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting))
414,(hyp:tok:dinner AND pre:tok:food)
415,(hyp:tok:well AND pre:tok:shirt)
416,((((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army)) AND (NOT pre:tok:one)) AND (NOT hyp:tok:is))
417,(hyp:tok:about OR hyp:tok:for)
418,(hyp:tok:church OR pre:tok:us)
419,(pre:tok:pose OR pre:tok:walking)
420,(((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean) OR hyp:tok:goal)
421,(pre:tok:painted AND pre:tok:to)
422,(NOT hyp:tok:home)
423,(((pre:tok:skateboarder OR pre:tok:snowman) OR hyp:tok:face) OR hyp:tok:slam)
424,((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying) AND (NOT pre:tok:to))
425,((((hyp:tok:indoors OR hyp:tok:machine) OR pre:tok:bearded) OR pre:tok:chef) OR pre:tok:hydrant)
426,(hyp:tok:boys AND pre:tok:girls)
427,(((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset) OR hyp:tok:passed)
428,((((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts) OR hyp:tok:protection) OR hyp:tok:pocket)
429,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking)) OR hyp:tok:blue)
430,((((hyp:tok:there AND pre:tok:to) OR pre:tok:crane) OR pre:tok:scale) OR pre:tok:apartment)
431,((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man)
432,((((hyp:tok:his OR pre:tok:with) OR pre:tok:standing) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:his))
433,((((hyp:tok:water AND pre:tok:swimming) OR hyp:tok:happening) OR hyp:tok:furniture) OR pre:tok:wife)
434,(((hyp:tok:you AND pre:tok:-) OR pre:tok:wares) AND (NOT pre:tok:on))
435,((hyp:tok:trunks OR pre:tok:bat) AND pre:tok:to)
436,(hyp:tok:hardware AND pre:tok:on)
437,(NOT hyp:tok:her)
438,((((hyp:tok:appears OR hyp:tok:sad) OR hyp:tok:blouse) OR hyp:tok:rowboat) OR hyp:tok:repair)
439,((((hyp:tok:couch OR hyp:tok:home) OR hyp:tok:ocean) OR hyp:tok:had) OR hyp:tok:sandwich)
440,((pre:tok:little OR pre:tok:young) OR hyp:tok:has)
441,(hyp:tok:computer OR hyp:tok:image)
442,((((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids) OR hyp:tok:chess) OR pre:tok:daughter)
443,((((hyp:tok:home AND pre:tok:seat) OR hyp:tok:waters) OR hyp:tok:cameras) OR hyp:tok:spray)
444,((((hyp:tok:couch OR hyp:tok:swimming) OR pre:tok:cute) OR pre:tok:courtyard) OR hyp:tok:compete)
445,(hyp:tok:running AND pre:tok:woman)
446,((hyp:tok:men AND hyp:tok:team) OR hyp:tok:trumpet)
447,(hyp:tok:on AND pre:tok:multiple)
448,((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least))
449,((((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat) AND (NOT pre:tok:on)) OR hyp:tok:though)
450,(((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing)) OR hyp:tok:running)
451,(hyp:tok:to OR oth:overlap:overlap75)
452,((NOT pre:tok:to) AND (hyp:tok:asleep OR hyp:tok:nobody))
453,((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table))
454,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing)) OR hyp:tok:eating)
455,((hyp:tok:at OR hyp:tok:sitting) OR hyp:tok:swimming)
456,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue)) AND (NOT pre:tok:yellow)) AND (NOT pre:tok:his))
457,(((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter) OR hyp:tok:rack)
458,(hyp:tok:on AND pre:tok:vacation)
459,(hyp:tok:band AND pre:tok:guitars)
460,((hyp:tok:control OR hyp:tok:staircase) AND pre:tok:colorful)
461,(hyp:tok:beer AND pre:tok:man)
462,((((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib) AND (NOT pre:tok:girl))
463,(hyp:tok:couch OR hyp:tok:crying)
464,(pre:tok:night AND pre:tok:walking)
465,((((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars) OR hyp:tok:lamp) OR hyp:tok:plastic)
466,(NOT pre:tok:him)
467,(pre:tok:blue OR pre:tok:up)
468,((((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench) OR hyp:tok:lake)
469,((hyp:tok:among OR pre:tok:puts) AND pre:tok:at)
470,((((hyp:tok:are AND hyp:tok:down) OR hyp:tok:truck) AND (NOT oth:overlap:overlap50)) OR pre:tok:control)
471,((((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling) AND (NOT hyp:tok:man))
472,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed)) OR hyp:tok:eating) AND (NOT hyp:tok:there))
473,((hyp:tok:at OR hyp:tok:dance) OR pre:tok:attached)
474,(((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75))
475,((((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new) OR pre:tok:business)
476,(((NOT oth:overlap:overlap50) AND (hyp:tok:cat OR hyp:tok:eating)) OR hyp:tok:driving)
477,((hyp:tok:jumping AND pre:tok:into) OR hyp:tok:packages)
478,(hyp:tok:is OR hyp:tok:people)
479,(hyp:tok:is OR hyp:tok:woman)
480,((NOT pre:tok:while) AND hyp:tok:is)
481,((((hyp:tok:pots OR pre:tok:camping) OR pre:tok:meet) OR hyp:tok:hiding) AND (NOT pre:tok:shirt))
482,((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone)
483,(((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf) OR hyp:tok:art)
484,((((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant) OR pre:tok:weather)
485,(hyp:tok:his AND hyp:tok:steering)
486,((((hyp:tok:trunks OR pre:tok:bat) AND pre:tok:to) OR pre:tok:rowing) AND (NOT hyp:tok:are))
487,(hyp:tok:camouflage OR hyp:tok:sheep)
488,((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee)
489,(((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight) OR hyp:tok:gather)
490,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:wearing)) OR hyp:tok:for)
491,((((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes) AND (NOT hyp:tok:to))
492,((((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming) AND oth:overlap:overlap25) AND (NOT pre:tok:man))
493,((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is)
494,((((hyp:tok:coffee OR hyp:tok:pillow) OR hyp:tok:elephant) OR hyp:tok:eats) OR hyp:tok:finished)
495,(((NOT pre:tok:in) AND hyp:tok:bass) OR pre:tok:skydiving)
496,(hyp:tok:down OR hyp:tok:eating)
497,((((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain) AND (NOT pre:tok:with)) OR hyp:tok:carrot)
498,(((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt) OR hyp:tok:garage)
499,((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds)
500,((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder))
501,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman))
502,((hyp:tok:couch OR hyp:tok:swimming) OR pre:tok:cute)
503,((NOT oth:overlap:overlap25) AND hyp:tok:couch)
504,((((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller) OR hyp:tok:crime)
505,((hyp:tok:sitting AND pre:tok:pots) OR pre:tok:native)
506,(hyp:tok:swimming OR hyp:tok:tv)
507,(hyp:tok:bed OR hyp:tok:police)
508,((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket)
509,((((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel) OR hyp:tok:upright)
510,(((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his))
511,((hyp:tok:couch OR hyp:tok:home) OR hyp:tok:ocean)
512,((((pre:tok:are AND pre:tok:this) OR pre:tok:chinese) OR hyp:tok:filled) OR pre:tok:jean)
513,((((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his)) AND (NOT hyp:tok:for))
514,((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church)
515,(((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to) AND (NOT oth:overlap:overlap50))
516,((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook)
517,((((hyp:tok:in OR hyp:tok:on) OR hyp:tok:at) OR pre:tok:holding) AND (NOT pre:tok:looking))
518,(((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home) OR hyp:tok:to)
519,((hyp:tok:about OR hyp:tok:for) OR hyp:tok:son)
520,(((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is) OR pre:tok:training)
521,((NOT oth:overlap:overlap25) AND hyp:tok:is)
522,((((hyp:tok:sandals OR pre:tok:apartment) OR pre:tok:pet) OR pre:tok:straight) OR pre:tok:clear)
523,(((((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib) AND (NOT pre:tok:girl)) AND (NOT pre:tok:toddler))
524,((NOT oth:overlap:overlap50) AND hyp:tok:outdoors)
525,(hyp:tok:at OR hyp:tok:sitting)
526,(hyp:tok:park OR pre:tok:suspenders)
527,((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards)
528,(((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for) OR hyp:tok:his)
529,(hyp:tok:boat AND pre:tok:driving)
530,((hyp:tok:group AND pre:tok:motorcyclists) OR hyp:tok:sofa)
531,((((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night) OR pre:tok:chairs) OR pre:tok:tie)
532,(hyp:tok:chewing AND pre:tok:with)
533,(hyp:tok:asleep OR hyp:tok:sitting)
534,(((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection)
535,(hyp:tok:black AND hyp:tok:in)
536,(((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in) OR hyp:tok:hoops)
537,((((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)) OR pre:tok:three) AND (NOT hyp:tok:outside))
538,((((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man) OR hyp:tok:pets)
539,((((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys) AND (NOT pre:tok:to)) OR hyp:tok:low)
540,((NOT pre:tok:running) AND (hyp:tok:running OR hyp:tok:soccer))
541,((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating)
542,((((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on)) OR hyp:tok:sandwiches)
543,((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts)
544,(((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete)
545,((((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use) OR pre:tok:rink) OR pre:tok:word)
546,(hyp:tok:house OR pre:tok:leaping)
547,(hyp:tok:last AND pre:tok:two)
548,(((hyp:tok:park AND pre:tok:building) OR hyp:tok:photographing) AND (NOT hyp:tok:is))
549,(((((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by) AND (NOT hyp:tok:his)) OR pre:tok:t)
550,((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread)
551,((hyp:tok:eating OR pre:tok:background) OR hyp:tok:swimming)
552,((((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle) AND (NOT pre:tok:playing)) OR hyp:tok:dinner)
553,((((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:with))
554,((((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer) OR pre:tok:turns) OR hyp:tok:backpack)
555,((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs)
556,(((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids) OR hyp:tok:chess)
557,((hyp:tok:to OR pre:tok:street) OR hyp:tok:old)
558,((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green)
559,(hyp:tok:are AND hyp:tok:down)
560,(((pre:tok:blue OR pre:tok:up) OR pre:tok:their) OR hyp:tok:his)
561,(((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar) AND (NOT oth:overlap:overlap25))
562,(hyp:tok:men AND hyp:tok:team)
563,(hyp:tok:dock OR hyp:tok:swimming)
564,((((NOT pre:tok:to) AND (hyp:tok:asleep OR hyp:tok:nobody)) OR pre:tok:gesturing) AND (NOT pre:tok:holding))
565,((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two))
566,(((hyp:tok:indoors OR hyp:tok:machine) OR pre:tok:bearded) OR pre:tok:chef)
567,((((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder)) AND (NOT pre:tok:man)) OR hyp:tok:booth)
568,((hyp:tok:appears OR hyp:tok:sad) OR hyp:tok:blouse)
569,((hyp:tok:his OR pre:tok:with) OR pre:tok:standing)
570,(hyp:tok:park AND pre:tok:individual)
571,(hyp:tok:protective OR hyp:tok:shoot)
572,((((NOT pre:tok:and) AND (hyp:tok:pets OR hyp:tok:swimming)) AND (NOT oth:overlap:overlap50)) OR pre:tok:got)
573,(((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping) OR hyp:tok:helmet)
574,(((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying) OR pre:tok:bicycles)
575,(((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards) OR hyp:tok:lead)
576,((((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean) OR hyp:tok:goal) AND (NOT oth:overlap:overlap25))
577,((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person)
578,(hyp:tok:running OR pre:tok:table)
579,(((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder)) AND (NOT pre:tok:man))
580,((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outdoors)
581,((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps)
582,((((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps) OR hyp:tok:cat)
583,(((hyp:tok:empty OR hyp:tok:ocean) OR hyp:tok:nothing) OR hyp:tok:naked)
584,(hyp:tok:down OR pre:tok:sitting)
585,(hyp:tok:in OR hyp:tok:wearing)
586,(hyp:tok:human OR hyp:tok:humans)
587,((NOT hyp:tok:to) AND oth:overlap:overlap25)
588,((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one)
589,(((pre:tok:hikers OR pre:tok:lane) OR pre:tok:slope) OR pre:tok:activity)
590,(hyp:tok:and OR hyp:tok:is)
591,((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items))
592,(hyp:tok:at OR hyp:tok:dance)
593,(((hyp:tok:jumping AND pre:tok:into) OR hyp:tok:packages) OR pre:tok:pumpkin)
594,((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk)
595,((((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine) AND (NOT pre:tok:in)) OR pre:tok:least)
596,(((hyp:tok:couch OR hyp:tok:swimming) OR pre:tok:cute) OR pre:tok:courtyard)
597,((hyp:tok:bed OR hyp:tok:police) OR hyp:tok:laying)
598,(hyp:tok:fire AND pre:tok:women)
599,(NOT pre:tok:suit)
600,((((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family) OR hyp:tok:racing)
601,(((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman) OR pre:tok:lemons)
602,((((hyp:tok:and OR pre:tok:man) OR hyp:tok:at) OR pre:tok:out) AND (NOT hyp:tok:there))
603,(hyp:tok:dog OR hyp:tok:playing)
604,(((hyp:tok:home AND pre:tok:seat) OR hyp:tok:waters) OR hyp:tok:cameras)
605,((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are)
606,(((NOT oth:overlap:overlap50) AND (pre:tok:blue OR pre:tok:in)) AND (NOT pre:tok:men))
607,((((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing)) OR pre:tok:swimming) OR hyp:tok:bowling)
608,(((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman) OR pre:tok:unicycle)
609,((((hyp:tok:horses AND hyp:tok:riding) OR hyp:tok:magazine) AND (NOT pre:tok:on)) AND (NOT pre:tok:with))
610,(((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap)
611,((((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying) OR pre:tok:bicycles) OR hyp:tok:television)
612,(hyp:tok:throw AND pre:tok:man)
613,((((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying) OR hyp:tok:bedroom)
614,((hyp:tok:outside AND pre:tok:golfer) OR pre:tok:turns)
615,(((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street))
616,(((((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are)) OR hyp:tok:girlfriend) AND (NOT pre:tok:boy))
617,((((hyp:tok:are AND hyp:tok:sleeping) OR pre:tok:shoot) OR pre:tok:whose) AND (NOT hyp:tok:in))
618,((hyp:tok:in OR hyp:tok:on) OR hyp:tok:at)
619,((hyp:tok:couch OR hyp:tok:crying) OR hyp:tok:seated)
620,(hyp:tok:favorite OR hyp:tok:tall)
621,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:wearing))
622,(hyp:tok:swimming AND pre:tok:orange)
623,((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home)
624,(hyp:tok:through AND pre:tok:motorcyclists)
625,(hyp:tok:bicycle AND hyp:tok:skateboarder)
626,(hyp:tok:running OR hyp:tok:soccer)
627,(hyp:tok:human OR pre:tok:surfing)
628,((hyp:tok:men AND pre:tok:smile) OR hyp:tok:steering)
629,(hyp:tok:guitars OR hyp:tok:spinning)
630,(hyp:tok:friends OR hyp:tok:lunch)
631,(hyp:tok:sitting AND pre:tok:pots)
632,(hyp:tok:women AND pre:tok:mcdonald)
633,((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in)
634,(NOT hyp:tok:riding)
635,((NOT pre:tok:people) AND hyp:tok:nobody)
636,(((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting) AND (NOT pre:tok:two))
637,(((hyp:tok:women AND pre:tok:mcdonald) OR pre:tok:rainy) AND (NOT pre:tok:some))
638,(((hyp:tok:couch OR hyp:tok:home) OR hyp:tok:ocean) OR hyp:tok:had)
639,(hyp:tok:n't OR hyp:tok:nobody)
640,((hyp:tok:are AND pre:tok:course) AND hyp:tok:in)
641,(((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying)
642,((((hyp:tok:friends OR hyp:tok:lunch) OR pre:tok:reads) OR hyp:tok:case) OR hyp:tok:rival)
643,((hyp:tok:chases AND pre:tok:through) OR pre:tok:studio)
644,((((hyp:tok:park AND pre:tok:building) OR hyp:tok:photographing) AND (NOT hyp:tok:is)) AND (NOT pre:tok:near))
645,((hyp:tok:night AND pre:tok:night) AND pre:tok:man)
646,(hyp:tok:seated OR pre:tok:railing)
647,((((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset) OR hyp:tok:passed) AND (NOT hyp:tok:in))
648,((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps)
