,lost_concepts
314,(((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green) AND (NOT pre:tok:on))
315,(hyp:tok:beer AND pre:tok:man)
316,(hyp:tok:robe AND hyp:tok:white)
317,((((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection) OR hyp:tok:tan)
318,(hyp:tok:cardboard AND pre:tok:in)
319,((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting))
320,(hyp:tok:eating OR pre:tok:background)
321,((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on)
322,(((hyp:tok:eating OR hyp:tok:swimming) OR hyp:tok:space) OR hyp:tok:coffee)
323,(hyp:tok:cows AND pre:tok:people)
324,(((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts) OR hyp:tok:protection)
325,(((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army) AND (NOT pre:tok:is))
326,((((hyp:tok:tall AND pre:tok:and) OR hyp:tok:river) OR hyp:tok:bamboo) AND (NOT pre:tok:is))
327,(hyp:tok:rope OR pre:tok:uniformed)
328,(((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry)
329,((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people)
330,(((NOT pre:tok:man) AND (hyp:tok:nobody OR hyp:tok:nothing)) OR pre:tok:everywhere)
331,((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf)
332,((((hyp:tok:empty OR hyp:tok:ocean) OR hyp:tok:nothing) OR hyp:tok:naked) OR hyp:tok:buys)
333,(hyp:tok:guitars OR hyp:tok:spinning)
334,(((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)) OR pre:tok:three)
335,((((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are) OR hyp:tok:6) OR pre:tok:meet)
336,((((pre:tok:man OR pre:tok:with) OR hyp:tok:child) OR pre:tok:are) AND (NOT hyp:tok:in))
337,(hyp:tok:writing OR pre:tok:lunch)
338,((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone)
339,(hyp:tok:are AND pre:tok:course)
340,((((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items)) AND (NOT hyp:tok:in)) OR pre:tok:works)
341,((((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are)) OR hyp:tok:girlfriend)
342,((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds)
343,(((hyp:tok:men AND hyp:tok:team) OR hyp:tok:trumpet) AND (NOT pre:tok:in))
344,(((pre:tok:man OR pre:tok:with) OR hyp:tok:child) OR pre:tok:are)
345,(pre:tok:are AND pre:tok:this)
346,(((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf)
347,(hyp:tok:lap OR hyp:tok:television)
348,(((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing) OR pre:tok:lake)
349,(hyp:tok:man AND hyp:tok:snowboarder)
350,(((hyp:tok:eating OR pre:tok:background) OR hyp:tok:swimming) OR hyp:tok:driving)
351,((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one)
352,(hyp:tok:house OR pre:tok:leaping)
353,(((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing)) OR hyp:tok:running)
354,(hyp:tok:to OR pre:tok:street)
355,((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom)
356,((((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete) OR hyp:tok:marathon)
357,(NOT pre:tok:sits)
358,(hyp:tok:lighting OR hyp:tok:theater)
359,(((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people) OR hyp:tok:though)
360,((((hyp:tok:are AND hyp:tok:sleeping) OR pre:tok:shoot) OR pre:tok:whose) AND (NOT hyp:tok:in))
361,((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes)
362,((((hyp:tok:saw OR pre:tok:swimsuit) OR pre:tok:army) AND (NOT pre:tok:is)) OR pre:tok:rescue)
363,(((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs) AND (NOT pre:tok:man))
364,(pre:tok:night AND pre:tok:walking)
365,((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers)
366,(oth:overlap:overlap50 OR pre:tok:play)
367,((((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket) AND (NOT oth:overlap:overlap50)) OR hyp:tok:magazine)
368,(hyp:tok:in OR pre:tok:walking)
369,((((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in) OR hyp:tok:cafeteria) AND (NOT pre:tok:with))
370,((((hyp:tok:jet OR hyp:tok:tea) OR pre:tok:fun) OR hyp:tok:rowboat) OR hyp:tok:diner)
371,(((hyp:tok:and OR pre:tok:man) OR hyp:tok:at) OR pre:tok:out)
372,((((NOT pre:tok:and) AND (hyp:tok:pets OR hyp:tok:swimming)) AND (NOT oth:overlap:overlap50)) OR pre:tok:got)
373,(((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man))
374,((NOT pre:tok:on) AND hyp:tok:amusement)
375,((NOT hyp:tok:is) AND (hyp:tok:outside OR pre:tok:photographer))
376,((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running))
377,(((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps)
378,(hyp:tok:riders OR pre:tok:clown)
379,(((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75))
380,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking)) OR hyp:tok:blue)
381,((((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum) OR hyp:tok:subway) AND (NOT hyp:tok:people))
382,(((hyp:tok:trunks OR pre:tok:bat) AND pre:tok:to) OR pre:tok:rowing)
383,((((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building) OR hyp:tok:chasing)
384,(hyp:tok:running OR hyp:tok:soccer)
385,((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys)
386,((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps)
387,((((hyp:tok:activity OR hyp:tok:least) AND oth:overlap:overlap25) AND (NOT hyp:tok:is)) AND (NOT pre:tok:with))
388,((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is))
389,((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty)
390,((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep)
391,((((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine) AND (NOT pre:tok:in)) OR pre:tok:least)
392,(hyp:tok:park OR pre:tok:suspenders)
393,(((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting)) OR pre:tok:four)
394,(hyp:tok:among OR pre:tok:puts)
395,((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church)
396,(hyp:tok:at OR hyp:tok:her)
397,(pre:tok:cherry OR pre:tok:picking)
398,((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is)
399,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people)) AND (NOT pre:tok:his))
400,(((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches)
401,(((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes)
402,(((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer) OR pre:tok:turns)
403,((((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf) AND pre:tok:is)
404,((((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family) OR hyp:tok:racing)
405,((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk)
406,((((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one) OR hyp:tok:outside) AND (NOT pre:tok:walking))
407,(hyp:tok:whose OR pre:tok:pumpkin)
408,((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing))
409,(((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock) AND (NOT pre:tok:in))
410,(((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman)
411,((((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked) OR hyp:tok:sleeps) OR hyp:tok:nothing)
412,(hyp:tok:dog OR hyp:tok:playing)
413,(((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above) AND oth:overlap:overlap50)
414,((NOT oth:overlap:overlap50) AND (hyp:tok:cat OR hyp:tok:eating))
415,((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat)
416,(hyp:tok:pants OR pre:tok:guitar)
417,(((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection)
418,(((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs) AND pre:tok:in)
419,(hyp:tok:down OR pre:tok:sitting)
420,(hyp:tok:neck AND pre:tok:are)
421,((NOT pre:tok:men) AND oth:overlap:overlap75)
422,((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present)
423,(((hyp:tok:beer AND pre:tok:man) OR hyp:tok:balance) AND pre:tok:in)
424,((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars)
425,((hyp:tok:sitting AND pre:tok:pots) OR pre:tok:native)
426,((((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded) OR hyp:tok:wetsuit) OR hyp:tok:steering)
427,(NOT hyp:tok:person)
428,(hyp:tok:mirror OR hyp:tok:sandwiches)
429,((hyp:tok:in OR pre:tok:while) OR pre:tok:race)
430,(((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket) OR hyp:tok:cats)
431,(hyp:tok:and OR hyp:tok:skateboarder)
432,((((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman)) AND pre:tok:woman) AND (NOT pre:tok:old))
433,((((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading) AND (NOT oth:overlap:overlap50))
434,(((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap)
435,((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry)
436,(hyp:tok:appears OR hyp:tok:sad)
437,((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items))
438,((((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying) OR hyp:tok:bedroom)
439,((pre:tok:blue OR pre:tok:up) OR pre:tok:their)
440,(hyp:tok:in OR pre:tok:dressed)
441,(NOT pre:tok:down)
442,(hyp:tok:and AND pre:tok:hairnet)
443,(((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks)
444,((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in)
445,(((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on))
446,(hyp:tok:hoops OR hyp:tok:rollerblading)
447,(((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket) AND (NOT pre:tok:into))
448,((hyp:tok:women AND pre:tok:mcdonald) OR pre:tok:rainy)
449,(hyp:tok:down OR hyp:tok:eating)
450,(hyp:tok:are AND pre:tok:tent)
451,((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outdoors)
452,(hyp:tok:there AND pre:tok:to)
453,(((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming)
454,(((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is)) OR hyp:tok:written)
455,((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain)
456,(hyp:tok:to OR oth:overlap:overlap50)
457,((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet)
458,((hyp:tok:park AND pre:tok:building) OR hyp:tok:photographing)
459,(hyp:tok:home OR pre:tok:performs)
460,(((hyp:tok:to OR oth:overlap:overlap75) OR hyp:tok:for) OR hyp:tok:her)
461,((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping)
462,((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand)
463,(hyp:tok:countryside OR hyp:tok:newspapers)
464,(((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home)
465,((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight)
466,(((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum) OR hyp:tok:subway)
467,((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos)
468,((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe)
469,(hyp:tok:with AND pre:tok:couple)
470,((((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant) OR pre:tok:mirror)
471,(((hyp:tok:in OR hyp:tok:on) OR hyp:tok:at) OR pre:tok:holding)
472,((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar)
473,(hyp:tok:identical OR hyp:tok:mouths)
474,((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are)
475,(((hyp:tok:people AND hyp:tok:snow) AND pre:tok:snow) AND hyp:tok:in)
476,(((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft)
477,((((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing)) OR hyp:tok:greyhound)
478,(hyp:tok:lunch OR hyp:tok:sits)
479,(((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in) OR hyp:tok:cafeteria)
480,(hyp:tok:couch OR hyp:tok:crying)
481,((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is))
482,(hyp:tok:horses AND hyp:tok:riding)
483,(oth:overlap:overlap75 OR pre:tok:his)
484,((((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat) OR hyp:tok:bed) OR hyp:tok:couch)
485,((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying)
486,((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person)
487,((((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare) OR hyp:tok:maroon) OR hyp:tok:balance)
488,(((((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming) OR hyp:tok:drives) OR pre:tok:different)
489,((hyp:tok:lighting OR hyp:tok:theater) AND pre:tok:in)
490,((((NOT hyp:tok:riding) AND (hyp:tok:drinking OR pre:tok:riding)) OR hyp:tok:blanket) OR pre:tok:waves)
491,(((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is))
492,((((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green) OR hyp:tok:white)
493,((((hyp:tok:human OR hyp:tok:humans) OR pre:tok:farmer) OR pre:tok:crafts) OR pre:tok:splashes)
494,((((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling) AND (NOT hyp:tok:man))
495,(NOT pre:tok:toddler)
496,((hyp:tok:about OR hyp:tok:for) OR hyp:tok:son)
497,(((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling) OR hyp:tok:suspended)
498,((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook)
499,(((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his))
500,((((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50) AND (NOT pre:tok:down))
501,((((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i) OR pre:tok:picking)
502,(oth:overlap:overlap75 OR pre:tok:items)
503,(hyp:tok:tall AND pre:tok:and)
504,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT hyp:tok:person)) AND (NOT hyp:tok:his))
505,((hyp:tok:- AND pre:tok:while) OR hyp:tok:!)
506,(((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather)
507,((hyp:tok:suit OR pre:tok:courtyard) OR hyp:tok:robe)
508,((((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present) OR hyp:tok:outfits) OR hyp:tok:gathered)
509,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue)) AND (NOT pre:tok:yellow)) AND (NOT pre:tok:his))
510,(hyp:tok:outside AND pre:tok:golfer)
511,(hyp:tok:woman AND pre:tok:cameras)
512,(((hyp:tok:sitting AND pre:tok:pots) OR pre:tok:native) AND hyp:tok:man)
513,(hyp:tok:herself AND pre:tok:woman)
514,(((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science)
515,((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan)
516,((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person)
517,(NOT hyp:tok:her)
518,(hyp:tok:outdoors OR hyp:tok:there)
519,(hyp:tok:at OR hyp:tok:sitting)
520,(((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling)
521,(((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded) OR hyp:tok:wetsuit)
522,(hyp:tok:well AND pre:tok:shirt)
523,((((hyp:tok:friends OR hyp:tok:lunch) OR pre:tok:reads) OR hyp:tok:case) OR hyp:tok:rival)
524,(hyp:tok:is OR hyp:tok:woman)
525,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks) AND (NOT pre:tok:to))
526,(((NOT pre:tok:in) AND hyp:tok:bass) OR pre:tok:skydiving)
527,((hyp:tok:you AND pre:tok:-) OR pre:tok:wares)
528,((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to)
529,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:alone) AND (NOT pre:tok:sitting)) OR pre:tok:match)
530,(hyp:tok:outside OR pre:tok:photographer)
531,(((hyp:tok:are AND pre:tok:course) AND hyp:tok:in) AND (NOT pre:tok:is))
532,(pre:tok:hot AND pre:tok:little)
533,(((hyp:tok:sandwiches OR pre:tok:easter) OR pre:tok:photographs) OR hyp:tok:eight)
534,((((hyp:tok:couch OR hyp:tok:swimming) OR pre:tok:cute) OR pre:tok:courtyard) OR hyp:tok:compete)
535,((hyp:tok:his OR pre:tok:with) OR pre:tok:standing)
536,((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside))
537,((((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use) OR pre:tok:rink) OR pre:tok:word)
538,((((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom) OR hyp:tok:tv) OR hyp:tok:plane)
539,((hyp:tok:band AND pre:tok:guitars) OR hyp:tok:scarves)
540,((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar)
541,((((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks) OR hyp:tok:photographers)
542,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their)
543,(hyp:tok:bicycle AND hyp:tok:skateboarder)
544,(NOT pre:tok:holding)
545,(((pre:tok:curb OR pre:tok:raining) AND hyp:tok:in) OR hyp:tok:hoops)
546,(((hyp:tok:blanket AND pre:tok:through) OR pre:tok:jumped) AND hyp:tok:on)
547,(pre:tok:movie OR pre:tok:produce)
548,(hyp:tok:there AND pre:tok:nutcracker)
549,(((hyp:tok:for OR hyp:tok:park) OR pre:tok:together) AND (NOT pre:tok:and))
550,((((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new) OR pre:tok:business)
551,((((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army)) AND (NOT pre:tok:one)) AND (NOT hyp:tok:is))
552,((((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds) OR hyp:tok:terrain) OR hyp:tok:spinning)
553,(((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night) OR pre:tok:chairs)
554,((((pre:tok:little OR pre:tok:young) OR hyp:tok:has) OR hyp:tok:about) OR pre:tok:suit)
555,((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table))
556,((hyp:tok:gesturing OR pre:tok:headscarf) OR pre:tok:form)
557,(hyp:tok:blue OR hyp:tok:eating)
558,(hyp:tok:make AND pre:tok:playing)
559,(((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put)) OR hyp:tok:wheeled)
560,((NOT pre:tok:running) AND (hyp:tok:running OR hyp:tok:soccer))
561,((((hyp:tok:there AND pre:tok:to) OR pre:tok:crane) OR pre:tok:scale) OR pre:tok:apartment)
562,((hyp:tok:gymnasium OR hyp:tok:hooded) AND pre:tok:is)
563,(hyp:tok:dinner AND pre:tok:food)
564,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:wearing))
565,(((NOT oth:overlap:overlap50) AND (hyp:tok:cat OR hyp:tok:eating)) OR hyp:tok:driving)
566,(pre:tok:design OR pre:tok:placing)
567,(((hyp:tok:couch OR hyp:tok:home) OR hyp:tok:ocean) OR hyp:tok:had)
568,(hyp:tok:suburban OR pre:tok:skiing)
569,(pre:tok:little OR pre:tok:young)
570,(((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading)
571,(((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman)) AND pre:tok:woman)
572,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:during)
573,(hyp:tok:and AND hyp:tok:walk)
574,(((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass) OR pre:tok:rest)
575,(((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:sitting) AND (NOT hyp:tok:sitting))
576,(((hyp:tok:women AND pre:tok:men) OR hyp:tok:buys) AND (NOT pre:tok:to))
577,(hyp:tok:too AND pre:tok:woman)
578,((((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat) AND (NOT pre:tok:on)) OR hyp:tok:though)
579,((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine)
580,(hyp:tok:tables AND pre:tok:is)
581,(hyp:tok:outdoors OR hyp:tok:outside)
582,((((NOT pre:tok:with) AND hyp:tok:nobody) AND (NOT pre:tok:woman)) AND (NOT pre:tok:boy))
583,(hyp:tok:soccer AND pre:tok:yellow)
584,(pre:tok:goat OR pre:tok:younger)
585,(hyp:tok:for AND hyp:tok:walmart)
586,(hyp:tok:groceries AND pre:tok:people)
587,(oth:overlap:overlap50 OR pre:tok:race)
588,((((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom) OR hyp:tok:clean)
589,(((((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib) AND (NOT pre:tok:girl)) AND (NOT pre:tok:toddler))
590,(((NOT pre:tok:to) AND (hyp:tok:asleep OR hyp:tok:nobody)) OR pre:tok:gesturing)
591,(((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors)
592,(((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids) OR hyp:tok:chess)
593,((NOT hyp:tok:are) AND hyp:tok:swimming)
594,((((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:are))
595,(pre:tok:pose OR pre:tok:walking)
596,((((hyp:tok:at OR hyp:tok:dance) OR pre:tok:attached) OR pre:tok:candy) AND (NOT hyp:tok:home))
597,((((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home) OR hyp:tok:to) AND (NOT pre:tok:shirt))
598,(hyp:tok:drums OR hyp:tok:swimming)
599,((hyp:tok:outdoors AND pre:tok:in) OR hyp:tok:screaming)
600,(hyp:tok:chases AND pre:tok:through)
601,((NOT hyp:tok:man) AND hyp:tok:sleeping)
602,((NOT pre:tok:on) AND hyp:tok:swimming)
603,((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put))
604,(hyp:tok:boys AND pre:tok:girls)
605,((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in)
606,(((((NOT pre:tok:his) AND oth:overlap:overlap75) AND (NOT hyp:tok:are)) OR hyp:tok:girlfriend) AND (NOT pre:tok:boy))
607,(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) AND (NOT hyp:tok:person))
608,((((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking) OR hyp:tok:wild) AND (NOT pre:tok:man))
609,(((((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors) AND (NOT pre:tok:people)) AND (NOT pre:tok:blue))
610,(((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family)
611,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing)) OR hyp:tok:eating)
612,(hyp:tok:gesturing OR pre:tok:headscarf)
613,(hyp:tok:human OR hyp:tok:wearing)
614,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next))
615,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:tall) OR pre:tok:back)
616,((((NOT oth:overlap:overlap25) AND (hyp:tok:least OR pre:tok:put)) OR hyp:tok:wheeled) OR hyp:tok:stripe)
617,(pre:tok:skateboarder OR pre:tok:snowman)
618,((((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench) OR hyp:tok:lake)
619,((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting)
620,(((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead) AND (NOT pre:tok:is))
621,((hyp:tok:horses AND hyp:tok:riding) OR hyp:tok:magazine)
622,((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing)
623,(hyp:tok:ladies OR hyp:tok:tv)
624,((hyp:tok:for AND hyp:tok:walmart) OR pre:tok:passed)
625,((((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain) AND (NOT pre:tok:with)) OR hyp:tok:carrot)
626,((((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught) OR hyp:tok:cow) AND (NOT pre:tok:with))
627,(((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry) OR hyp:tok:among)
628,((((NOT oth:overlap:overlap50) AND (pre:tok:blue OR pre:tok:in)) AND (NOT pre:tok:men)) AND (NOT pre:tok:suit))
629,((((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves) OR hyp:tok:tiles)
630,((((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church) OR pre:tok:skate) OR hyp:tok:grill)
631,((((hyp:tok:cafe OR hyp:tok:sleeps) OR hyp:tok:blanket) OR hyp:tok:cats) AND (NOT oth:overlap:overlap50))
632,(hyp:tok:are AND pre:tok:father)
633,(((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75))
634,(((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by)
635,(((hyp:tok:down OR hyp:tok:ground) OR hyp:tok:swimming) OR pre:tok:road)
636,(((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling)
